[z = 2.519682291284582e-7, y = 1.2848680421760948e-10], [vz = 6.945176890123894e6, vy = 99.52245835174686], [az = 9.135318073959656e13, ay = 4.7867277989054535e10]
[z = 2.589134060185821e-7, y = 1.2858632667596122e-10], [vz = 6.9451769765104195e6, vy = 99.52250240304897], [az = 8.638652546952561e13, ay = 4.405130211628277e10]
[z = 2.658585829950925e-7, y = 1.2868584917836428e-10], [vz = 6.945177058324586e6, vy = 99.5225430351013], [az = 8.181416588232378e13, ay = 4.063205232451632e10]
[z = 2.728037600534171e-7, y = 1.2878537172139938e-10], [vz = 6.945177135920029e6, vy = 99.5225805943007], [az = 7.759544347233131e13, ay = 3.755919941765822e10]
[z = 2.797489371893371e-7, y = 1.2888489430199368e-10], [vz = 6.945177209614838e6, vy = 99.52261538419253], [az = 7.36948084766449e13, ay = 3.478989183192956e10]
[z = 2.8669411439895197e-7, y = 1.2898441691737788e-10], [vz = 6.945177279695906e6, vy = 99.52264767168288], [az = 7.0081068499341164e13, ay = 3.2287490336362366e10]
[z = 2.936392916786479e-7, y = 1.2908393956504957e-10], [vz = 6.945177346422669e6, vy = 99.52267769222458], [az = 6.67267629729013e13, ay = 3.002054169436837e10]
[z = 3.0058446902507055e-7, y = 1.291834622427418e-10], [vz = 6.945177410030308e6, vy = 99.52270565416626], [az = 6.360763993534128e13, ay = 2.796194168141046e10]
[z = 3.0752964643510085e-7, y = 1.2928298494839595e-10], [vz = 6.945177470732525e6, vy = 99.5227317424153], [az = 6.0702216434632586e13, ay = 2.608824903784384e10]
[z = 3.144748239058334e-7, y = 1.2938250768013838e-10], [vz = 6.945177528723933e6, vy = 99.5227561215357], [az = 5.799140762633206e13, ay = 2.437912040741596e10]
[z = 3.214200014345573e-7, y = 1.294820304362599e-10], [vz = 6.945177584182145e6, vy = 99.52277893837848], [az = 5.54582125649902e13, ay = 2.2816842772969246e10]
[z = 3.2836517901873944e-7, y = 1.295815532151983e-10], [vz = 6.945177637269592e6, vy = 99.52280032432334], [az = 5.308744699751867e13, ay = 2.1385944861043755e10]
[z = 3.3531035665600904e-7, y = 1.2968107601552262e-10], [vz = 6.945177688135107e6, vy = 99.52282039719616], [az = 5.086551529155648e13, ay = 2.0072872818817226e10]
[z = 3.4225553434414413e-7, y = 1.2978059883591981e-10], [vz = 6.945177736915322e6, vy = 99.5228392629146], [az = 4.878021508279212e13, ay = 1.8865718444523754e10]
[z = 3.492007120810595e-7, y = 1.2988012167518272e-10], [vz = 6.945177783735892e6, vy = 99.52285701690518], [az = 4.6820569384769164e13, ay = 1.775399057969401e10]
[z = 3.5614588986479537e-7, y = 1.2997964453219963e-10], [vz = 6.945177828712573e6, vy = 99.52287374532727], [az = 4.497668183600899e13, ay = 1.6728422100270033e10]
[z = 3.6309106769350797e-7, y = 1.3007916740594496e-10], [vz = 6.9451778719521845e6, vy = 99.52288952613367], [az = 4.323961151080092e13, ay = 1.5780806388129171e10]
[z = 3.7003624556546017e-7, y = 1.301786902954711e-10], [vz = 6.945177913553448e6, vy = 99.52290442999198], [az = 4.160126432918941e13, ay = 1.4903858311225409e10]
[z = 3.769814234790136e-7, y = 1.302782131999011e-10], [vz = 6.945177953607747e6, vy = 99.52291852108763], [az = 4.005429859763462e13, ay = 1.4091095655172499e10]
[z = 3.8392660143262137e-7, y = 1.3037773611842218e-10], [vz = 6.94517799219979e6, vy = 99.52293185782531], [az = 3.859204261726478e13, ay = 1.3336737681960558e10]
[z = 3.9087177942482117e-7, y = 1.3047725905028002e-10], [vz = 6.945178029408213e6, vy = 99.52294449344339], [az = 3.7208422629418664e13, ay = 1.2635618081318193e10]
[z = 3.978169574542294e-7, y = 1.3057678199477345e-10], [vz = 6.945178065306112e6, vy = 99.52295647655345], [az = 3.589789964236408e13, ay = 1.1983110056935099e10]
[z = 4.047621355195355e-7, y = 1.3067630495125e-10], [vz = 6.945178099961526e6, vy = 99.52296785161512], [az = 3.4655413909828297e13, ay = 1.1375061676607721e10]
[z = 4.11707313619497e-7, y = 1.3077582791910162e-10], [vz = 6.945178133437862e6, vy = 99.52297865935505], [az = 3.347633602015982e13, ay = 1.0807739930529604e10]
[z = 4.1865249175293483e-7, y = 1.3087535089776097e-10], [vz = 6.945178165794285e6, vy = 99.52298893713724], [az = 3.235642371165371e13, ay = 1.0277782199670835e10]
[z = 4.255976699187291e-7, y = 1.309748738866981e-10], [vz = 6.945178197086069e6, vy = 99.5229987192913], [az = 3.1291783660509887e13, ay = 9.78215404771288e9]
[z = 4.325428481158152e-7, y = 1.3107439688541738e-10], [vz = 6.945178227364906e6, vy = 99.52300803740371], [az = 3.0278837597640855e13, ay = 9.318112424215374e9]
[z = 4.3948802634318007e-7, y = 1.3117391989345478e-10], [vz = 6.945178256679199e6, vy = 99.52301692057722], [az = 2.9314292202816465e13, ay = 8.883173510658197e9]
[z = 4.464332045998593e-7, y = 1.3127344291037535e-10], [vz = 6.945178285074311e6, vy = 99.52302539566178], [az = 2.839511230244062e13, ay = 8.475084560364151e9]
[z = 4.533783828849336e-7, y = 1.31372965935771e-10], [vz = 6.945178312592808e6, vy = 99.52303348746096], [az = 2.7518496963053527e13, ay = 8.0917991825823145e9]
[z = 4.603235611975264e-7, y = 1.3147248896925847e-10], [vz = 6.945178339274666e6, vy = 99.52304121891657], [az = 2.6681858128451777e13, ay = 7.731455603832354e9]
[z = 4.672687395368011e-7, y = 1.315720120104774e-10], [vz = 6.945178365157467e6, vy = 99.52304861127408], [az = 2.588280149576295e13, ay = 7.392357508906687e9]
[z = 4.7421391790195856e-7, y = 1.3167153505908867e-10], [vz = 6.945178390276576e6, vy = 99.5230556842312], [az = 2.5119109366257844e13, ay = 7.072957122074885e9]
[z = 4.811590962922352e-7, y = 1.3177105811477292e-10], [vz = 6.945178414665301e6, vy = 99.52306245607143], [az = 2.4388725241250375e13, ay = 6.771840237961341e9]
[z = 4.881042747069004e-7, y = 1.3187058117722898e-10], [vz = 6.945178438355042e6, vy = 99.52306894378438], [az = 2.3689739963049453e13, ay = 6.487712952846079e9]
[z = 4.950494531452555e-7, y = 1.3197010424617277e-10], [vz = 6.945178461375421e6, vy = 99.52307516317427], [az = 2.3020379226358188e13, ay = 6.219389882055352e9]
[z = 5.019946316066309e-7, y = 1.3206962732133595e-10], [vz = 6.945178483754413e6, vy = 99.52308112895795], [az = 2.2378992307404363e13, ay = 5.965783678718435e9]
[z = 5.089398100903854e-7, y = 1.3216915040246492e-10], [vz = 6.945178505518455e6, vy = 99.52308685485364], [az = 2.176404187696864e13, ay = 5.725895694337997e9]
[z = 5.158849885959039e-7, y = 1.3226867348931978e-10], [vz = 6.94517852669255e6, vy = 99.52309235366128], [az = 2.1174094779799e13, ay = 5.498807643069404e9]
[z = 5.228301671225964e-7, y = 1.3236819658167343e-10], [vz = 6.945178547300363e6, vy = 99.52309763733544], [az = 2.0607813677041438e13, ay = 5.283674149922677e9]
[z = 5.297753456698968e-7, y = 1.3246771967931077e-10], [vz = 6.945178567364313e6, vy = 99.52310271705151], [az = 2.0063949460591168e13, ay = 5.079716078780773e9]
[z = 5.367205242372611e-7, y = 1.3256724278202783e-10], [vz = 6.945178586905647e6, vy = 99.52310760326607], [az = 1.9541334358946e13, ay = 4.886214549579093e9]
[z = 5.436657028241667e-7, y = 1.326667658896311e-10], [vz = 6.945178605944523e6, vy = 99.52311230577163], [az = 1.9038875663446145e13, ay = 4.702505565554234e9]
[z = 5.506108814301112e-7, y = 1.3276628900193686e-10], [vz = 6.945178624500073e6, vy = 99.52311683374681], [az = 1.855555001190949e13, ay = 4.527975181431495e9]
[z = 5.575560600546113e-7, y = 1.3286581211877061e-10], [vz = 6.945178642590471e6, vy = 99.52312119580196], [az = 1.809039817377534e13, ay = 4.362055152018324e9]
[z = 5.645012386972018e-7, y = 1.3296533523996642e-10], [vz = 6.945178660232991e6, vy = 99.52312540002097], [az = 1.764252028709609e13, ay = 4.2042190081071134e9]
[z = 5.714464173574349e-7, y = 1.3306485836536646e-10], [vz = 6.945178677444062e6, vy = 99.52312945399949], [az = 1.7211071503180217e13, ay = 4.0539785130337462e9]
[z = 5.78391596034879e-7, y = 1.3316438149482045e-10], [vz = 6.94517869423932e6, vy = 99.52313336487995], [az = 1.6795257999495176e13, ay = 3.910880458831766e9]
[z = 5.853367747291183e-7, y = 1.3326390462818533e-10], [vz = 6.945178710633653e6, vy = 99.52313713938372], [az = 1.6394333325669244e13, ay = 3.774503765786073e9]
[z = 5.922819534397519e-7, y = 1.333634277653247e-10], [vz = 6.945178726641248e6, vy = 99.52314078384057], [az = 1.6007595051163885e13, ay = 3.644456853427896e9]
[z = 5.992271321663931e-7, y = 1.3346295090610854e-10], [vz = 6.94517874227563e6, vy = 99.52314430421583], [az = 1.563438168648525e13, ay = 3.520375254710824e9]
[z = 6.061723109086687e-7, y = 1.3356247405041275e-10], [vz = 6.9451787575497e6, vy = 99.52314770613528], [az = 1.5274069852720312e13, ay = 3.401919448340379e9]
[z = 6.131174896662184e-7, y = 1.336619971981189e-10], [vz = 6.945178772475772e6, vy = 99.52315099490816], [az = 1.4926071676768701e13, ay = 3.2887728870601425e9]
[z = 6.200626684386942e-7, y = 1.337615203491138e-10], [vz = 6.945178787065604e6, vy = 99.52315417554837], [az = 1.4589832391934127e13, ay = 3.180640202179459e9]
[z = 6.270078472257599e-7, y = 1.3386104350328936e-10], [vz = 6.945178801330432e6, vy = 99.52315725279394], [az = 1.4264828125578668e13, ay = 3.077245566808147e9]
[z = 6.339530260270903e-7, y = 1.3396056666054216e-10], [vz = 6.945178815280996e6, vy = 99.52316023112513], [az = 1.3950563857356215e13, ay = 2.978331202181253e9]
[z = 6.408982048423713e-7, y = 1.340600898207733e-10], [vz = 6.945178828927568e6, vy = 99.52316311478114], [az = 1.3646571533157938e13, ay = 2.883656013146535e9]
[z = 6.478433836712989e-7, y = 1.3415961298388808e-10], [vz = 6.945178842279976e6, vy = 99.52316590777548], [az = 1.3352408321344537e13, ay = 2.792994340377885e9]
[z = 6.547885625135789e-7, y = 1.3425913614979585e-10], [vz = 6.9451788553476315e6, vy = 99.5231686139103], [az = 1.3067654999128586e13, ay = 2.7061348181948414e9]
[z = 6.617337413689265e-7, y = 1.3435865931840976e-10], [vz = 6.945178868139546e6, vy = 99.52317123678962], [az = 1.2791914458122139e13, ay = 2.622879328033385e9]
[z = 6.68678920237066e-7, y = 1.3445818248964656e-10], [vz = 6.945178880664357e6, vy = 99.52317377983167], [az = 1.2524810319097438e13, ay = 2.5430420386454496e9]
[z = 6.756240991177304e-7, y = 1.345577056634264e-10], [vz = 6.945178892930343e6, vy = 99.52317624628019], [az = 1.2265985646933549e13, ay = 2.466448525020148e9]
[z = 6.825692780106607e-7, y = 1.3465722883967267e-10], [vz = 6.945178904945444e6, vy = 99.52317863921515], [az = 1.2015101757552695e13, ay = 2.3929349588330355e9]
[z = 6.895144569156061e-7, y = 1.3475675201831189e-10], [vz = 6.945178916717282e6, vy = 99.52318096156252], [az = 1.1771837109396932e13, ay = 2.3223473639530783e9]
[z = 6.964596358323234e-7, y = 1.3485627519927346e-10], [vz = 6.945178928253168e6, vy = 99.52318321610345], [az = 1.1535886272667408e13, ay = 2.254540931181026e9]
[z = 7.034048147605766e-7, y = 1.3495579838248957e-10], [vz = 6.945178939560127e6, vy = 99.52318540548283], [az = 1.1306958970153812e13, ay = 2.189379386967178e9]
[z = 7.103499937001368e-7, y = 1.3505532156789504e-10], [vz = 6.945178950644907e6, vy = 99.52318753221725], [az = 1.1084779184027453e13, ay = 2.1267344113691008e9]
[z = 7.172951726507817e-7, y = 1.3515484475542724e-10], [vz = 6.945178961513991e6, vy = 99.52318959870234], [az = 1.0869084323463857e13, ay = 2.0664851009679058e9]
[z = 7.242403516122957e-7, y = 1.3525436794502595e-10], [vz = 6.945178972173615e6, vy = 99.52319160721981], [az = 1.0659624448406156e13, ay = 2.008517472871523e9]
[z = 7.311855305844693e-7, y = 1.3535389113663318e-10], [vz = 6.945178982629777e6, vy = 99.52319355994382], [az = 1.0456161545183201e13, ay = 1.9527240063004932e9]
[z = 7.38130709567099e-7, y = 1.3545341433019313e-10], [vz = 6.945178992888246e6, vy = 99.52319545894704], [az = 1.0258468850060873e13, ay = 1.8990032185808887e9]
[z = 7.450758885599873e-7, y = 1.3555293752565208e-10], [vz = 6.945179002954576e6, vy = 99.52319730620631], [az = 1.0066330217135762e13, ay = 1.8472592726644766e9]
[z = 7.520210675629418e-7, y = 1.3565246072295828e-10], [vz = 6.945179012834116e6, vy = 99.52319910360792], [az = 9.879539527279975e12, ay = 1.7974016135616384e9]
[z = 7.58966246575776e-7, y = 1.3575198392206188e-10], [vz = 6.945179022532016e6, vy = 99.52320085295256], [az = 9.697900135118395e12, ay = 1.7493446313114266e9]
[z = 7.65911425598308e-7, y = 1.3585150712291482e-10], [vz = 6.945179032053241e6, vy = 99.5232025559599], [az = 9.521224351266816e12, ay = 1.7030073483280654e9]
[z = 7.728566046303612e-7, y = 1.3595103032547077e-10], [vz = 6.945179041402574e6, vy = 99.52320421427302], [az = 9.349332957284938e12, ay = 1.658313129157089e9]
[z = 7.798017836717638e-7, y = 1.3605055352968504e-10], [vz = 6.945179050584628e6, vy = 99.52320582946243], [az = 9.182054751002885e12, ay = 1.6151894108490703e9]
[z = 7.867469627223484e-7, y = 1.361500767355145e-10], [vz = 6.945179059603854e6, vy = 99.52320740302987], [az = 9.019226120066807e12, ay = 1.5735674523168113e9]
[z = 7.936921417819523e-7, y = 1.3624959994291753e-10], [vz = 6.945179068464545e6, vy = 99.52320893641198], [az = 8.860690641719643e12, ay = 1.5333821011845846e9]
[z = 8.006373208504169e-7, y = 1.3634912315185394e-10], [vz = 6.945179077170843e6, vy = 99.52321043098355], [az = 8.706298706988559e12, ay = 1.494571576767128e9]
[z = 8.075824999275877e-7, y = 1.3644864636228493e-10], [vz = 6.94517908572675e6, vy = 99.52321188806083], [az = 8.555907167592697e12, ay = 1.4570772679330053e9]
[z = 8.145276790133145e-7, y = 1.36548169574173e-10], [vz = 6.945179094136129e6, vy = 99.52321330890437], [az = 8.409379004014964e12, ay = 1.4208435447129526e9]
[z = 8.214728581074507e-7, y = 1.3664769278748191e-10], [vz = 6.945179102402712e6, vy = 99.52321469472196], [az = 8.266583013300272e12, ay = 1.3858175826099238e9]
[z = 8.284180372098534e-7, y = 1.3674721600217664e-10], [vz = 6.945179110530105e6, vy = 99.52321604667115], [az = 8.127393515251828e12, ay = 1.3519491986548834e9]
[z = 8.353632163203836e-7, y = 1.368467392182233e-10], [vz = 6.945179118521796e6, vy = 99.52321736586185], [az = 7.991690075796663e12, ay = 1.3191906983316696e9]
[z = 8.423083954389054e-7, y = 1.3694626243558918e-10], [vz = 6.945179126381153e6, vy = 99.52321865335858], [az = 7.859357246383232e12, ay = 1.2874967325664086e9]
[z = 8.492535745652865e-7, y = 1.3704578565424253e-10], [vz = 6.945179134111438e6, vy = 99.52321991018275], [az = 7.730284318358028e12, ay = 1.2568241640426145e9]
[z = 8.561987536993979e-7, y = 1.371453088741527e-10], [vz = 6.945179141715803e6, vy = 99.52322113731469], [az = 7.604365091345181e12, ay = 1.2271319421629128e9]
[z = 8.631439328411137e-7, y = 1.3724483209529002e-10], [vz = 6.945179149197301e6, vy = 99.52322233569568], [az = 7.4814976547241e12, ay = 1.1983809860328546e9]
[z = 8.70089111990311e-7, y = 1.3734435531762572e-10], [vz = 6.945179156558885e6, vy = 99.52322350622975], [az = 7.36158418136545e12, ay = 1.170534074892033e9]
[z = 8.770342911468699e-7, y = 1.3744387854113196e-10], [vz = 6.945179163803416e6, vy = 99.5232246497855], [az = 7.244530732845821e12, ay = 1.1435557454631333e9]
