b;a
2.0e-11;1.2638585972464884
1.99601002004008e-11;1.2809918957234656
1.9920200400801603e-11;1.297971301374832
1.9880300601202403e-11;1.3147958290809632
1.9840400801603207e-11;1.3314645889372283
1.9800501002004007e-11;1.347976781871725
1.9760601202404807e-11;1.3643316952857474
1.972070140280561e-11;1.3805286987042809
1.968080160320641e-11;1.3965672394824675
1.9640901803607212e-11;1.412446838523014
1.9601002004008015e-11;1.4281670860885987
1.9561102204408816e-11;1.443727637652857
1.952120240480962e-11;1.4591282098389062
1.948130260521042e-11;1.4743685764411991
1.944140280561122e-11;1.4894485645432913
1.9401503006012024e-11;1.5043680507415196
1.9361603206412824e-11;1.5191269574894786
1.9321703406813628e-11;1.5337252495547082
1.9281803607214428e-11;1.5481629306171187
1.9241903807615228e-11;1.5624400399995233
1.9202004008016032e-11;1.5765566495272907
1.9162104208416832e-11;1.5905128605379717
1.9122204408817633e-11;1.604308801005362
1.9082304609218436e-11;1.6179446227955987
1.9042404809619237e-11;1.6314204990195014
1.900250501002004e-11;1.6447366214876904
1.896260521042084e-11;1.6578931982342793
1.892270541082164e-11;1.6708904510833056
1.8882805611222444e-11;1.683728613281104
1.8842905811623245e-11;1.6964079271124992
1.880300601202405e-11;1.7089286415590133
1.876310621242485e-11;1.721291009954086
1.872320641282565e-11;1.7334952876427745
1.8683306613226453e-11;1.7455417296807765
1.8643406813627253e-11;1.7574305885613983
1.8603507014028053e-11;1.7691621120178698
1.8563607214428857e-11;1.7807365409208002
1.8523707414829657e-11;1.7921541072972866
1.848380761523046e-11;1.8034150325065923
1.844390781563126e-11;1.8145195255911335
1.8404008016032062e-11;1.8254677818026206
1.8364108216432865e-11;1.8362599813147056
1.8324208416833666e-11;1.846896288098852
1.828430861723447e-11;1.8573768489244653
1.824440881763527e-11;1.8677017924491568
1.820450901803607e-11;1.8778712283363823
1.8164609218436874e-11;1.8878852463514153
1.8124709418837674e-11;1.8977439153604065
1.8084809619238474e-11;1.9074472822021
1.8044909819639278e-11;1.9169953703961469
1.8005010020040078e-11;1.9263881786660448
1.7965110220440882e-11;1.9356256793024849
1.7925210420841682e-11;1.9447078164042368
1.7885310621242483e-11;1.9536345040497032
1.7845410821643286e-11;1.9624056245046149
1.7805511022044087e-11;1.9710210265262516
1.776561122244489e-11;1.9794805238817752
1.772571142284569e-11;1.9877838941422312
1.768581162324649e-11;1.995930877805481
1.7645911823647294e-11;2.0039211777703865
1.7606012024048095e-11;2.0117544591267444
1.7566112224448895e-11;2.0194303491990344
1.75262124248497e-11;2.026948437716788
1.74863126252505e-11;2.0343082769838756
1.7446412825651303e-11;2.0415093818662453
1.7406513026052103e-11;2.0485512294394868
1.7366613226452903e-11;2.0554332581500314
1.7326713426853707e-11;2.0621548663783353
1.7286813627254507e-11;2.06871541035664
1.724691382765531e-11;2.0751142014480632
1.720701402805611e-11;2.081350502883123
1.7167114228456912e-11;2.087423526089762
1.7127214428857715e-11;2.0933324268362026
1.7087314629258516e-11;2.099076301407447
1.7047414829659316e-11;2.104654183063999
1.700751503006012e-11;2.110065038994213
1.696761523046092e-11;2.115307767923818
1.6927715430861724e-11;2.1203811984764562
1.6887815631262524e-11;2.1252840882758575
1.6847915831663324e-11;2.130015123711862
1.6808016032064128e-11;2.1345729201855304
1.6768116232464928e-11;2.1389560226048485
1.6728216432865732e-11;2.143162905859027
1.6688316633266532e-11;2.1471919750029906
1.6648416833667333e-11;2.1510415649241574
1.6608517034068136e-11;2.154709939322018
1.6568617234468937e-11;2.1581952889179488
1.6528717434869737e-11;2.161495728903388
1.648881763527054e-11;2.1646092957144565
1.644891783567134e-11;2.167533943281936
1.6409018036072144e-11;2.170267538924436
1.6369118236472945e-11;2.172807859050603
1.6329218436873745e-11;2.1751525847772797
1.628931863727455e-11;2.177299297506244
1.624941883767535e-11;2.1792454744064997
1.6209519038076153e-11;2.180988483680864
1.6169619238476953e-11;2.18252557942959
1.6129719438877753e-11;2.183853895921784
1.6089819639278557e-11;2.184970441118711
1.6049919839679357e-11;2.1858720893817427
1.6010020040080158e-11;2.1865555734297737
1.597012024048096e-11;2.1870174757596867
1.5930220440881762e-11;2.1872542198800087
1.5890320641282565e-11;2.187262061818387
